Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Sep 14 00:52:31 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       large_multiplier_wrapper_map.ncd
OUTPUT FILE:      large_multiplier_wrapper_pad.txt
PART TYPE:        xc6vlx75t
SPEED GRADE:      -3
PACKAGE:          ff784

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AG23      |outp<50>   |IOB      |IO_L17N_VRP_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG24      |outp<45>   |IOB      |IO_L15P_FWE_B_24          |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG25      |           |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AG26      |outp<34>   |IOB      |IO_L9N_MRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG27      |outp<23>   |IOB      |IO_L4P_D11_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG28      |outp<16>   |IOB      |IO_L3P_D13_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH1       |           |IPAD     |MGTRXP0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH2       |           |IPAD     |MGTRXN0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH3       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH4       |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|AH5       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH6       |           |         |CCLK_0                    |         |           |              |          |         |           |         |         |          |           |                |
|AH7       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH8       |           |IOBS     |IO_L13N_SM6N_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AH9       |outp<59>   |IOB      |IO_L17P_35                |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH10      |outp<55>   |IOB      |IO_L17N_35                |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH11      |outp<63>   |IOB      |IO_L19P_GC_35             |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH12      |           |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AH13      |           |IOBM     |IO_L7P_A05_D21_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH14      |outp<70>   |IOB      |IO_L7N_A04_D20_34         |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH15      |outp<73>   |IOB      |IO_L9P_MRCC_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH16      |outp<74>   |IOB      |IO_L9N_MRCC_34            |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH17      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH18      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH19      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH20      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH21      |           |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH22      |           |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AH23      |outp<49>   |IOB      |IO_L17P_VRN_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH24      |outp<46>   |IOB      |IO_L15N_RS1_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH25      |outp<42>   |IOB      |IO_L13N_D0_FS0_24         |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH26      |outp<41>   |IOB      |IO_L13P_D1_FS1_24         |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH27      |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH28      |outp<24>   |IOB      |IO_L4N_VREF_D10_24        |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B1        |           |IPAD     |MGTRXP2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|B2        |           |IPAD     |MGTRXN2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|B3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B4        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B5        |           |         |MGTRREF_115               |         |           |              |          |         |           |         |         |          |           |                |
|B6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B7        |in0<14>    |IOB      |IO_L3N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B8        |in0<9>     |IOB      |IO_L1P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B9        |in0<31>    |IOB      |IO_L12P_VRN_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B10       |           |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|B11       |           |IOBM     |IO_L5P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B12       |           |IOBM     |IO_L18P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B13       |           |IOBS     |IO_L7N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B14       |           |IOBM     |IO_L9P_MRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B15       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B16       |           |IOBS     |IO_L15N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B17       |           |IOBS     |IO_L17N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B18       |in1<54>    |IOB      |IO_L5P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B19       |in1<55>    |IOB      |IO_L5N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B20       |           |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|B21       |outp<1>    |IOB      |IO_L13P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B22       |outp<9>    |IOB      |IO_L17P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B23       |outp<10>   |IOB      |IO_L17N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B24       |           |IOBM     |IO_L1P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|B25       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B26       |           |IOBM     |IO_L3P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|B27       |           |IOBM     |IO_L9P_MRCC_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|B28       |           |IOBS     |IO_L9N_MRCC_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|C1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C2        |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|C3        |           |IPAD     |MGTRXP1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|C4        |           |IPAD     |MGTRXN1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|C5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C6        |           |         |M2_0                      |         |           |              |          |         |           |         |         |          |           |                |
|C7        |           |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|C8        |in0<10>    |IOB      |IO_L1N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C9        |in0<32>    |IOB      |IO_L12N_VRP_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C10       |in0<24>    |IOB      |IO_L8N_SRCC_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C11       |           |IOBS     |IO_L5N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C12       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C13       |           |IOBS     |IO_L18N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C14       |           |IOBM     |IO_L7P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C15       |           |IOBM     |IO_L15P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C16       |           |IOBS     |IO_L16N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C17       |           |         |VCCO_26                   |         |           |26            |          |         |           |         |any******|          |           |                |
|C18       |in1<46>    |IOB      |IO_L3P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C19       |rst        |IOB      |IO_L12P_25                |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C20       |outp<0>    |IOB      |IO_L12N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C21       |outp<2>    |IOB      |IO_L13N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C22       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C23       |           |IOBS     |IO_L4N_VREF_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|C24       |           |IOBS     |IO_L1N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|C25       |           |IOBS     |IO_L3N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|C26       |           |IOBS     |IO_L18N_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|C27       |           |         |VCCO_16                   |         |           |16            |          |         |           |         |any******|          |           |                |
|C28       |           |IOBS     |IO_L11N_SRCC_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D1        |           |OPAD     |MGTTXP3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D2        |           |OPAD     |MGTTXN3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|D5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D6        |           |         |M1_0                      |         |           |              |          |         |           |         |         |          |           |                |
|D7        |in0<35>    |IOB      |IO_L14P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D8        |in0<17>    |IOB      |IO_L5P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D9        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D10       |in0<23>    |IOB      |IO_L8P_SRCC_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D11       |           |IOBS     |IO_L0N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D12       |           |IOBS     |IO_L6N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D13       |           |IOBM     |IO_L6P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D14       |           |         |VCCO_26                   |         |           |26            |          |         |           |         |any******|          |           |                |
|D15       |           |IOBS     |IO_L12N_VRP_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D16       |           |IOBM     |IO_L16P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D17       |in1<52>    |IOB      |IO_L6P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D18       |in1<47>    |IOB      |IO_L3N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D19       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D20       |in1<17>    |IOB      |IO_L10P_MRCC_25           |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D21       |outp<8>    |IOB      |IO_L16N_VRP_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D22       |           |IOBM     |IO_L4P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D23       |           |IOBS     |IO_L14N_VREF_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D24       |           |         |VCCO_16                   |         |           |16            |          |         |           |         |any******|          |           |                |
|D25       |           |IOBS     |IO_L6N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D26       |           |IOBM     |IO_L18P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D27       |           |IOBM     |IO_L11P_SRCC_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D28       |           |IOBM     |IO_L13P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|E1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E2        |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|E3        |           |IPAD     |MGTRXP0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|E4        |           |IPAD     |MGTRXN0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|E5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E7        |in0<36>    |IOB      |IO_L14N_VREF_36           |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E8        |in0<21>    |IOB      |IO_L7P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E9        |in0<18>    |IOB      |IO_L5N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E10       |in0<8>     |IOB      |IO_L0N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E11       |           |         |VCCO_26                   |         |           |26            |          |         |           |         |any******|          |           |                |
|E12       |           |IOBM     |IO_L0P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E13       |           |IOBM     |IO_L1P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E14       |           |IOBS     |IO_L1N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E15       |           |IOBM     |IO_L12P_VRN_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E16       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E17       |in1<53>    |IOB      |IO_L6N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E18       |in1<50>    |IOB      |IO_L7P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E19       |in1<26>    |IOB      |IO_L10N_MRCC_25           |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E20       |outp<7>    |IOB      |IO_L16P_VRN_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E21       |           |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|E22       |           |IOBM     |IO_L5P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|E23       |           |IOBM     |IO_L14P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|E24       |           |IOBM     |IO_L6P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|E25       |           |IOBM     |IO_L10P_MRCC_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|E26       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E27       |           |IOBS     |IO_L16N_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|E28       |           |IOBS     |IO_L13N_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|F1        |           |OPAD     |MGTTXP2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F2        |           |OPAD     |MGTTXN2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|F5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F6        |           |         |M0_0                      |         |           |              |          |         |           |         |         |          |           |                |
|F7        |in0<25>    |IOB      |IO_L9P_MRCC_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F8        |           |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|F9        |in0<22>    |IOB      |IO_L7N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F10       |in0<20>    |IOB      |IO_L6N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F11       |in0<7>     |IOB      |IO_L0P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F12       |           |IOBS     |IO_L11N_SRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F13       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F14       |           |IOBS     |IO_L3N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F15       |           |IOBS     |IO_L10N_MRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F16       |           |IOBM     |IO_L10P_MRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F17       |in1<43>    |IOB      |IO_L1N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F18       |           |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|F19       |in1<56>    |IOB      |IO_L7N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F20       |outp<13>   |IOB      |IO_L19P_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F21       |outp<19>   |IOB      |IO_L19N_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F22       |           |IOBS     |IO_L5N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|F23       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F24       |           |IOBS     |IO_L10N_MRCC_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|F25       |           |IOBS     |IO_L15N_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|F26       |           |IOBM     |IO_L15P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|F27       |           |IOBM     |IO_L16P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|F28       |           |         |VCCO_16                   |         |           |16            |          |         |           |         |any******|          |           |                |
|G1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G2        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G3        |           |IPAD     |MGTREFCLK1N_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|G4        |           |IPAD     |MGTREFCLK1P_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|G5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G6        |           |         |RDWR_B_0                  |         |           |              |          |         |           |         |         |          |           |                |
|G7        |in0<26>    |IOB      |IO_L9N_MRCC_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G8        |in0<33>    |IOB      |IO_L13P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G9        |in0<34>    |IOB      |IO_L13N_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G10       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G11       |in0<19>    |IOB      |IO_L6P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G12       |           |IOBM     |IO_L11P_SRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G13       |           |IOBS     |IO_L19N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G14       |           |IOBM     |IO_L3P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G15       |           |         |VCCO_26                   |         |           |26            |          |         |           |         |any******|          |           |                |
|G16       |           |IOBS     |IO_L2N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G17       |in1<42>    |IOB      |IO_L1P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G18       |in1<48>    |IOB      |IO_L4P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G19       |in1<21>    |IOB      |IO_L9N_MRCC_25            |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G20       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G21       |outp<12>   |IOB      |IO_L18N_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G22       |           |IOBM     |IO_L0P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|G23       |           |IOBS     |IO_L2N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|G24       |           |IOBS     |IO_L12N_VRP_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|G25       |           |         |VCCO_16                   |         |           |16            |          |         |           |         |any******|          |           |                |
|G26       |           |IOBS     |IO_L17N_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|G27       |           |IOBM     |IO_L17P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|G28       |           |IOBM     |IO_L19P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|H1        |           |OPAD     |MGTTXP1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H2        |           |OPAD     |MGTTXN1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H4        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H6        |           |         |DIN_0                     |         |           |              |          |         |           |         |         |          |           |                |
|H7        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H8        |in0<37>    |IOB      |IO_L15P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H9        |in0<38>    |IOB      |IO_L15N_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H10       |in0<28>    |IOB      |IO_L10N_MRCC_36           |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H11       |in0<27>    |IOB      |IO_L10P_MRCC_36           |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H12       |           |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|H13       |in0<15>    |IOB      |IO_L4P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H14       |           |IOBM     |IO_L19P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|H15       |           |IOBS     |IO_L4N_VREF_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|H16       |           |IOBM     |IO_L2P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|H17       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H18       |in1<49>    |IOB      |IO_L4N_VREF_25            |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H19       |in1<20>    |IOB      |IO_L9P_MRCC_25            |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H20       |outp<11>   |IOB      |IO_L18P_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H21       |           |IOBS     |IO_L0N_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|H22       |           |         |VCCO_16                   |         |           |16            |          |         |           |         |any******|          |           |                |
|H23       |           |IOBM     |IO_L2P_16                 |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|H24       |           |IOBM     |IO_L12P_VRN_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|H25       |in1<2>     |IOB      |IO_L1P_15                 |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H26       |in1<3>     |IOB      |IO_L1N_15                 |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H27       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|H28       |           |IOBS     |IO_L19N_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|J1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J2        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J3        |           |IPAD     |MGTREFCLK0N_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|J4        |           |IPAD     |MGTREFCLK0P_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
